"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A560","2020-03-01 00:00:00","405.000","0.000","0.000","15.000","1.000","969.500","","0.000","-99.000","-99.000","-99.000","26.700","","13.100",""
"C0X190","2020-03-01 00:00:00","10.000","22.000","1.500","23.400","0.810","1012.600","","0.500","-99.000","-99.000","-99.000","27.500","","20.700",""
"C0S950","2020-03-01 00:00:00","415.000","244.000","1.900","18.700","1.000","967.100","","11.000","-99.000","-99.000","-99.000","24.000","","17.700",""
"C0A880","2020-03-01 00:00:00","6.000","0.000","0.000","19.400","0.930","1012.600","","0.000","-99.000","-99.000","-99.000","27.000","","17.900",""
"C0I530","2020-03-01 00:00:00","3014.000","227.000","7.700","2.800","0.700","701.300","","0.000","-99.000","-99.000","-99.000","8.900","","0.900",""
"C0M670","2020-03-01 00:00:00","43.000","0.000","0.200","23.100","0.800","1008.600","","0.000","-99.000","-99.000","-99.000","29.100","","18.500",""
"C0Z061","2020-03-01 00:00:00","174.000","0.000","0.200","19.800","0.990","997.900","","1.000","-99.000","-99.000","-99.000","27.800","","19.300",""
"C0M730","2020-03-01 00:00:00","40.000","0.000","0.000","23.900","0.780","1008.800","","0.000","-99.000","-99.000","-99.000","30.400","","19.300",""
"C0U750","2020-03-01 00:00:00","398.000","193.000","4.400","18.100","1.000","968.800","","0.000","-99.000","-99.000","-99.000","21.900","","16.900",""
"C0A650","2020-03-01 00:00:00","287.000","0.000","0.000","16.600","1.000","982.200","","1.000","-99.000","-99.000","-99.000","26.400","","15.400",""
"C0I370","2020-03-01 00:00:00","671.000","0.000","0.000","18.700","0.880","940.000","","0.000","-99.000","-99.000","-99.000","23.700","","14.500",""
"C0S750","2020-03-01 00:00:00","2280.000","0.000","0.200","10.600","1.000","774.500","","0.500","-99.000","-99.000","-99.000","15.300","","6.500",""
"C0R650","2020-03-01 00:00:00","29.000","357.000","1.000","23.100","0.990","1011.800","","0.000","-99.000","-99.000","-99.000","28.400","","20.400",""
"C0E740","2020-03-01 00:00:00","27.000","251.000","0.300","17.800","1.000","1005.100","","0.000","-99.000","-99.000","-99.000","26.500","","14.500",""
"C0AI20","2020-03-01 00:00:00","25.000","171.000","2.300","19.300","0.860","1011.500","","0.000","-99.000","-99.000","-99.000","23.000","","14.900",""
"C0E550","2020-03-01 00:00:00","84.000","99.000","0.600","18.300","0.990","1005.400","","0.000","-99.000","-99.000","-99.000","26.300","","14.900",""
"C0X060","2020-03-01 00:00:00","19.000","48.000","0.600","20.800","0.910","1013.600","","0.000","-99.000","-99.000","-99.000","30.300","","17.300",""
"C0R510","2020-03-01 00:00:00","31.000","18.000","1.000","24.200","0.760","1010.900","","0.000","-99.000","-99.000","-99.000","29.600","","21.200",""
"C0AC60","2020-03-01 00:00:00","55.000","154.000","2.100","19.700","0.990","1008.200","","0.000","-99.000","-99.000","-99.000","27.100","","16.600",""
"C0UA70","2020-03-01 00:00:00","547.000","153.000","0.700","18.200","0.990","953.600","","0.000","-99.000","-99.000","-99.000","24.700","","16.500",""
"C0G740","2020-03-01 00:00:00","24.000","297.000","0.300","22.100","0.860","1011.600","","0.000","-99.000","-99.000","-99.000","26.700","","18.600",""
"C0F9N0","2020-03-01 00:00:00","75.000","115.000","0.900","22.700","0.770","1005.100","","0.000","-99.000","-99.000","-99.000","29.000","","19.600",""
"C0F9T0","2020-03-01 00:00:00","111.000","303.000","0.600","22.600","0.830","1000.700","","0.000","-99.000","-99.000","-99.000","27.400","","18.900",""
"C0S710","2020-03-01 00:00:00","382.000","254.000","0.600","18.600","0.980","972.400","","3.000","-99.000","-99.000","-99.000","24.500","","17.500",""
"C0M680","2020-03-01 00:00:00","37.000","0.000","0.000","22.700","0.870","1011.500","","0.000","-99.000","-99.000","-99.000","29.100","","19.000",""
"C0X220","2020-03-01 00:00:00","26.000","107.000","0.700","22.600","0.810","1011.100","","0.000","-99.000","-99.000","-99.000","27.700","","19.400",""
"C0R560","2020-03-01 00:00:00","22.000","0.000","0.000","23.600","0.780","1012.100","","0.000","-99.000","-99.000","-99.000","29.000","","20.500",""
"C0F9P0","2020-03-01 00:00:00","26.000","86.000","0.700","22.200","0.860","1011.800","","0.000","-99.000","-99.000","-99.000","27.100","","18.600",""
"C0O970","2020-03-01 00:00:00","71.000","0.000","0.000","21.000","0.910","1006.200","","0.000","-99.000","-99.000","-99.000","31.800","","18.000",""
"C0R700","2020-03-01 00:00:00","19.000","53.000","3.000","21.700","0.850","1012.600","","0.000","-99.000","-99.000","-99.000","28.300","","21.300",""
"C0R620","2020-03-01 00:00:00","34.000","35.000","1.600","21.000","0.940","1011.300","","10.500","-99.000","-99.000","-99.000","26.600","","20.500",""
"C0C660","2020-03-01 00:00:00","176.000","133.000","0.900","21.100","0.800","994.300","","0.000","-99.000","-99.000","-99.000","25.900","","15.900",""
"C0SA10","2020-03-01 00:00:00","411.000","304.000","1.500","19.100","0.970","968.600","","5.500","-99.000","-99.000","-99.000","26.700","","18.000",""
"C0M740","2020-03-01 00:00:00","15.000","0.000","0.000","22.600","0.850","1011.700","","0.000","-99.000","-99.000","-99.000","28.500","","18.700",""
"C0K460","2020-03-01 00:00:00","60.000","0.000","0.000","23.400","0.780","1006.200","","0.000","-99.000","-99.000","-99.000","28.100","","18.800",""
"C0X100","2020-03-01 00:00:00","10.000","50.000","1.300","24.100","0.760","1011.400","","0.000","-99.000","-99.000","-99.000","29.100","","21.400",""
"C0K560","2020-03-01 00:00:00","117.000","0.000","0.000","21.900","0.820","1001.300","","0.000","-99.000","-99.000","-99.000","29.200","","17.600",""
"C0R150","2020-03-01 00:00:00","105.000","81.000","1.800","22.800","0.990","1000.800","","1.000","-99.000","-99.000","-99.000","29.500","","20.600",""
"C0S690","2020-03-01 00:00:00","522.000","0.000","0.200","18.500","0.940","955.800","","6.500","-99.000","-99.000","-99.000","27.100","","17.800",""
"C0U870","2020-03-01 00:00:00","474.000","40.000","0.500","17.900","0.880","961.900","","0.000","-99.000","-99.000","-99.000","23.700","","17.500",""
"C0A520","2020-03-01 00:00:00","48.000","0.000","0.100","20.000","0.910","1009.300","","0.000","-99.000","-99.000","-99.000","27.800","","16.600",""
"C0X130","2020-03-01 00:00:00","27.000","73.000","1.500","23.800","0.820","1010.400","","0.000","-99.000","-99.000","-99.000","29.900","","20.400",""
"C0V400","2020-03-01 00:00:00","56.000","49.000","1.800","22.900","0.890","1007.200","","0.000","-99.000","-99.000","-99.000","29.400","","19.600",""
"C0UA40","2020-03-01 00:00:00","1121.000","0.000","0.000","15.000","0.920","890.700","","5.000","-99.000","-99.000","-99.000","18.000","","13.900",""
"C0G720","2020-03-01 00:00:00","50.000","168.000","0.800","22.400","0.840","1007.900","","0.000","-99.000","-99.000","-99.000","28.200","","18.800",""
"C0G890","2020-03-01 00:00:00","24.000","0.000","0.000","22.600","0.920","1011.000","","0.000","-99.000","-99.000","-99.000","25.700","","19.600",""
"C0I540","2020-03-01 00:00:00","3344.000","-99.000","-99.000","3.400","0.940","682.900","","-99.000","-99.000","-99.000","-99.000","8.100","","0.700",""
"C0K390","2020-03-01 00:00:00","31.000","148.000","0.600","22.600","0.830","1010.500","","0.000","-99.000","-99.000","-99.000","28.000","","18.700",""
"C0T9A0","2020-03-01 00:00:00","498.000","0.000","0.000","17.800","0.990","958.700","","1.000","-99.000","-99.000","-99.000","22.100","","17.400",""
"C0AH40","2020-03-01 00:00:00","426.000","0.000","0.000","19.700","0.910","965.000","","0.000","-99.000","-99.000","-99.000","25.100","","17.100",""
"C0X280","2020-03-01 00:00:00","22.000","0.000","0.000","22.700","0.810","1011.900","","0.000","-99.000","-99.000","-99.000","27.600","","19.500",""
"C0V620","2020-03-01 00:00:00","18.000","36.000","1.500","23.100","0.820","1012.000","","0.000","-99.000","-99.000","-99.000","27.300","","20.100",""
"C0H960","2020-03-01 00:00:00","120.000","186.000","1.500","22.600","0.880","999.100","","0.000","-99.000","-99.000","-99.000","28.600","","18.500",""
"C0M530","2020-03-01 00:00:00","1385.000","121.000","0.300","14.700","0.600","869.400","","0.000","-99.000","-99.000","-99.000","20.100","","12.000",""
"C0R170","2020-03-01 00:00:00","26.000","0.000","0.000","22.200","1.000","1011.300","","0.000","-99.000","-99.000","-99.000","29.700","","20.100",""
"C0I420","2020-03-01 00:00:00","305.000","0.000","0.000","20.400","0.860","979.700","","0.000","-99.000","-99.000","-99.000","27.800","","15.700",""
"C0A640","2020-03-01 00:00:00","241.000","0.000","0.000","18.000","0.960","989.200","","1.000","-99.000","-99.000","-99.000","26.400","","16.700",""
"C0A930","2020-03-01 00:00:00","216.000","314.000","1.200","17.500","0.990","988.100","","0.000","-99.000","-99.000","-99.000","24.600","","15.500",""
"C0F9M0","2020-03-01 00:00:00","230.000","22.000","0.400","20.900","0.830","987.600","","0.000","-99.000","-99.000","-99.000","26.700","","17.500",""
"C0AC40","2020-03-01 00:00:00","1079.000","251.000","5.200","14.800","0.990","894.500","","0.000","-99.000","-99.000","-99.000","19.500","","12.800",""
"C0AI00","2020-03-01 00:00:00","188.000","114.000","0.700","19.600","0.910","993.900","","0.000","-99.000","-99.000","-99.000","27.600","","17.600",""
"C0T9M0","2020-03-01 00:00:00","92.000","320.000","1.500","20.700","0.980","1006.000","","8.000","-99.000","-99.000","-99.000","26.800","","19.900",""
"C0S960","2020-03-01 00:00:00","32.000","0.000","0.200","22.100","0.870","1010.500","","9.500","-99.000","-99.000","-99.000","26.100","","20.700",""
"C0K430","2020-03-01 00:00:00","30.000","126.000","1.400","22.200","0.970","1011.600","","0.000","-99.000","-99.000","-99.000","28.100","","18.300",""
